time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB
11/8/2019,7.16,27.45,23.31,61.94,10.21,21.53,65.51,12.28,5.86,7.83,6.8,62.15,39.3,47.25,10.64,97.93,2.24,7.24,10.85,11.86,6.39,39.16,72.58,4.21,53.56,143.2,78.18,7.23
11/11/2019,7.13,27.27,23.31,61.94,10.05,21.68,64.64,12.19,5.85,7.86,6.82,60.29,38.45,47.33,10.56,96.08,2.21,7.13,10.8,11.88,6.39,39.08,72.73,4.16,52.85,142.8,78.24,7.15
11/12/2019,7.13,27.08,23.76,62.1,10.07,22.04,65.07,12.1,5.83,7.93,6.77,60.69,38.57,47.74,10.56,96.05,2.21,7.11,10.75,11.88,6.39,39.25,72.07,4.19,53.07,143.5,77.15,7.07
11/13/2019,7.21,26.89,24.22,61.43,10,21.86,65.07,12.19,5.83,7.81,6.76,60.12,37.82,47.74,10.56,94.92,2.21,7.11,10.8,11.69,6.37,38.73,71.55,4.16,52.89,143.5,75.94,7.02
11/14/2019,7.07,26.8,23.99,61.85,9.89,21.06,66,12.19,5.73,7.81,6.67,60.85,36.84,48.14,10.56,94.92,2.18,7.04,10.7,11.67,6.34,38.9,71.03,4.12,53.02,143.4,76.19,6.85
11/15/2019,7.04,26.52,23.71,62.45,9.93,21.17,66.93,12.1,5.6,7.81,6.61,60.29,37.37,47.98,10.6,94.92,2.18,6.93,10.7,11.76,6.29,38.39,70.96,4.14,53.16,143.3,74.43,6.98
11/18/2019,6.96,26.24,23.31,62.28,9.79,20.77,67.24,12.1,5.67,7.9,6.57,60.21,37.15,47.41,10.76,95.29,2.14,6.9,10.6,11.55,6.27,37.49,70.96,4.09,52.49,143.5,73.1,6.92
11/19/2019,6.98,26.24,23.51,61.85,9.84,21.06,66.62,12.01,5.69,7.86,6.61,59.88,37.53,48.06,10.84,94.54,2.14,6.93,10.6,11.69,6.31,38.95,71.11,4.12,52.05,144,75.28,6.95
11/20/2019,6.9,26.24,23.45,61.51,9.75,20.52,65.07,12.28,5.71,7.72,6.57,59.56,36.93,47.82,10.8,92.77,2.18,6.86,10.4,11.53,6.3,38.31,70.89,4.12,51.56,144.9,75.04,6.82
11/21/2019,6.93,26.42,23.26,60.15,9.75,20.23,64.52,12.45,5.62,7.59,6.51,57.86,35.8,47.82,10.8,90.77,2.14,6.7,10.2,11.1,6.3,37.45,70.22,4.09,51.25,143.4,73.83,6.53
